"","X","sound.files","selec","start","end","SNR"
"1",1,"syma_megarhyncha_164553_44k.wav",1,27.79216135,28.48429305,1.13332802944764
"2",2,"syma_megarhyncha_164553_44k.wav",2,28.64263776,29.19229777,1.04203614779493
"3",3,"syma_megarhyncha_166983_44k.wav",1,8.225467972,9.288597627,1.63163877880723
"4",4,"syma_megarhyncha_166983_44k.wav",2,9.433268884,10.05741878,1.59041133916405
"6",6,"syma_megarhyncha_166983_44k.wav",4,13.55653575,15.442024,2.87734692331446
"8",8,"syma_megarhyncha_166983_44k.wav",6,22.33159577,26.35155194,2.18494984822993
"9",9,"syma_megarhyncha_166983_44k.wav",7,30.41361698,37.94643163,2.09930444983264
"13",13,"syma_megarhyncha_166991_44k.wav",1,6.654379612,13.73699072,2.71530402247293
"14",14,"syma_megarhyncha_167057_44k.wav",1,4.416916742,5.027143588,1.52172576435762
"24",24,"syma_megarhyncha_167057_44k.wav",11,57.06685637,58.77769562,1.52425988898005
"37",37,"syma_megarhyncha_167057_44k.wav",24,102.6164775,103.1596749,1.93509175222172
"42",42,"syma_megarhyncha_167057_44k.wav",29,113.3729417,114.9927151,1.71067229257226
"46",46,"syma_megarhyncha_167057_44k.wav",33,125.9621952,128.2286581,2.18898749163858
"55",55,"syma_megarhyncha_167059_44k.wav",2,11.71667258,13.55594789,2.20300227955349
"56",56,"syma_megarhyncha_167059_44k.wav",3,16.98640313,22.47713153,1.9394973156029
"58",58,"syma_megarhyncha_167059_44k.wav",5,24.97332326,25.73191775,2.3474185919283
"59",59,"syma_megarhyncha_167059_44k.wav",6,26.6810112,28.19867636,1.82173110558847
"60",60,"syma_megarhyncha_167059_44k.wav",7,28.21244054,30.35346203,3.32587807490378
"61",61,"syma_megarhyncha_168367_44k.wav",1,6.87426731,8.516037038,2.13078626815914
"62",62,"syma_megarhyncha_168367_44k.wav",2,13.28955474,17.45901312,1.38384537806404
"63",63,"syma_megarhyncha_168367_44k.wav",3,31.02684468,34.78219849,1.8565543732926
"64",64,"syma_megarhyncha_182638_44k.wav",1,7.795716735,9.219617409,6.92534774349919
"65",65,"syma_megarhyncha_182638_44k.wav",2,15.92685308,17.30785124,5.81012745240095
"67",67,"syma_megarhyncha_182638_44k.wav",4,28.61155094,29.92266246,6.59918955971355
"68",68,"syma_megarhyncha_182638_44k.wav",5,33.68434165,35.11320831,5.89998788164896
"69",69,"syma_megarhyncha_182638_44k.wav",6,38.67116861,40.15921897,5.46111488470658
"72",72,"syma_megarhyncha_182678_44k.wav",1,11.34873347,12.80286087,2.13872629914834
"73",73,"syma_megarhyncha_182678_44k.wav",2,21.74313559,23.02923574,1.6771396711455
"74",74,"syma_megarhyncha_182678_44k.wav",3,28.96946423,30.22907911,2.08475125230833
"75",75,"syma_megarhyncha_182678_44k.wav",4,32.15685744,33.01030441,4.46010710331833
"76",76,"syma_megarhyncha_182678_44k.wav",5,58.08484686,59.6054142,4.08125417671545
"81",81,"syma_megarhyncha_20990_44k.wav",5,60.84046433,64.06815198,1.53962941441731
"82",82,"syma_megarhyncha_20990_44k.wav",6,78.76126117,80.84176041,2.91050477747542
"83",83,"syma_megarhyncha_20990_44k.wav",7,85.07414211,87.29908582,1.86122080528892
"88",88,"syma_megarhyncha_20990_44k.wav",12,95.96051593,98.94638947,1.63545823668443
"92",92,"syma_megarhyncha_20990_44k.wav",16,108.8812438,115.101245,2.01215737069683
"96",96,"syma_megarhyncha_79827_44k.wav",1,4.58360849,5.942702365,1.09762430328105
"97",97,"syma_megarhyncha_79827_44k.wav",2,6.784358253,11.41948605,1.81199380482512
"98",98,"syma_megarhyncha_79827_44k.wav",3,11.43962212,12.07084703,2.23150347691054
"99",99,"syma_megarhyncha_79830_44k.wav",1,6.94876481,11.13947498,3.85633211712966
"101",101,"syma_torotoro_141993_44k.wav",2,8.457597988,10.03961643,6.51068826383583
"103",103,"syma_torotoro_141993_44k.wav",4,21.99526497,23.67079817,7.00543895482867
"104",104,"syma_torotoro_141993_44k.wav",5,29.40567455,31.06211478,6.09408189606503
"107",107,"syma_torotoro_141993_44k.wav",8,49.05023613,50.71681241,6.10785266424704
"108",108,"syma_torotoro_141993_44k.wav",9,55.54395619,57.37570257,7.45194688282274
"137",137,"syma_torotoro_142010_44k.wav",26,118.0351346,119.5128671,5.63019256385636
"139",139,"syma_torotoro_142010_44k.wav",28,129.1415754,130.6256118,6.79579181829661
"140",140,"syma_torotoro_142010_44k.wav",29,133.4957934,135.1922335,4.90336643897025
"145",145,"syma_torotoro_142010_44k.wav",34,152.1095592,153.6190604,5.25928189695504
"150",150,"syma_torotoro_142010_44k.wav",39,175.2157289,176.7772483,4.66498173872341
"157",157,"syma_torotoro_163668_44k.wav",2,21.70200085,22.93674039,2.85263785170476
"158",158,"syma_torotoro_163668_44k.wav",3,27.20345347,28.44980298,3.24553637255316
"159",159,"syma_torotoro_163668_44k.wav",4,29.53941777,30.81814824,4.76986967346778
"162",162,"syma_torotoro_163668_44k.wav",7,42.81645054,50.5048198,2.85913491507152
"164",164,"syma_torotoro_163668_44k.wav",9,59.6290851,64.83677347,4.06327307749958
"166",166,"syma_torotoro_173730_44k.wav",1,5.503152696,6.334966871,3.93769985201
"169",169,"syma_torotoro_173730_44k.wav",4,29.32658006,30.14771396,2.66863114038382
"172",172,"syma_torotoro_173730_44k.wav",7,61.1076049,62.18855743,3.1344224309244
"175",175,"syma_torotoro_173730_44k.wav",10,69.53930676,70.95261761,10.130730608305
"176",176,"syma_torotoro_173730_44k.wav",11,73.581008,80.37679126,4.49289734643865
"177",177,"syma_torotoro_173733_44k.wav",1,5.748708772,6.604196492,2.31946711429483
"178",178,"syma_torotoro_173733_44k.wav",2,6.616532095,15.98955007,4.14861826457944
"179",179,"syma_torotoro_173733_44k.wav",3,17.11136438,21.55651277,0.932016106339785
"180",180,"syma_torotoro_173733_44k.wav",4,27.53134404,28.61558465,1.89708308362756
"181",181,"syma_torotoro_173733_44k.wav",5,33.42449729,33.9269237,1.85714505218269
"183",183,"syma_torotoro_173740_44k.wav",2,20.52170287,22.47347178,4.56971391735293
"186",186,"syma_torotoro_173740_44k.wav",5,32.82587651,34.32095604,4.22642746670922
"188",188,"syma_torotoro_173740_44k.wav",7,47.25005039,48.87320249,4.04445274258674
"193",193,"syma_torotoro_173740_44k.wav",12,86.32672122,87.97753772,5.14225109616423
"200",200,"syma_torotoro_173740_44k.wav",19,160.5306747,161.9289288,4.88514717277662
"205",205,"syma_torotoro_201240_44k.wav",1,0.13269843,1.044648664,3.68516172387487
"206",206,"syma_torotoro_201240_44k.wav",2,4.151088985,5.346236535,3.71115466494089
"207",207,"syma_torotoro_201240_44k.wav",3,6.888549665,15.46297257,2.68420984334602
"220",220,"syma_torotoro_201240_44k.wav",16,129.5955274,130.7900853,3.65618632136066
"221",221,"syma_torotoro_201240_44k.wav",17,136.3294058,143.0422185,4.04185732863086
"223",223,"syma_torotoro_20956_44k.wav",1,17.42317989,18.6809127,5.32756872319042
"224",224,"syma_torotoro_20956_44k.wav",2,26.57812598,27.75202656,6.17818308633148
"226",226,"syma_torotoro_20956_44k.wav",4,47.18108008,48.32874482,3.00567431950448
"227",227,"syma_torotoro_20956_44k.wav",5,53.3350502,54.798452,2.93010183684637
"228",228,"syma_torotoro_20956_44k.wav",6,58.87437161,60.31416796,2.2873838068855
"230",230,"syma_torotoro_65816_44k.wav",1,4.005199075,9.757090254,2.22440745049313
"231",231,"syma_torotoro_65816_44k.wav",2,11.48870297,13.01734484,1.37873377406339
"232",232,"syma_torotoro_65816_44k.wav",3,13.0403154,14.19272085,1.48321495037966
"233",233,"syma_torotoro_65844_44k.wav",1,6.866765603,7.487265213,1.03060334797156
"234",234,"syma_torotoro_65844_44k.wav",2,7.626086241,14.93280702,2.7838292066691
"235",235,"syma_torotoro_65846_44k.wav",1,4.206355062,16.12818572,10.189996896116
"236",236,"syma_torotoro_79884_44k.wav",1,4.805514153,12.67962493,2.45488116135435
"237",237,"syma_torotoro_79905_44k.wav",1,9.439208186,12.39358518,7.6690054831968
"238",238,"syma_torotoro_79905_44k.wav",2,24.63215899,35.34182094,2.65038451264448
"240",240,"syma_torotoro_79905_44k.wav",4,57.61694999,64.47742751,2.65441409024291
"241",241,"syma_torotoro_79905_44k.wav",5,80.11770267,82.68348548,6.45456615650322
"242",242,"syma_torotoro_79905_44k.wav",6,92.11933766,94.61927012,5.53379203970545
"244",244,"Syma-megarhyncha-118804.wav",1,0.021995513,10.39891152,296.084120649015
"245",245,"Syma-megarhyncha-204033.wav",1,0.015604193,12.38972914,68.3501134746807
"246",246,"Syma-megarhyncha-279410.wav",1,1.298502929,3.583008081,1.09412956949388
"247",247,"Syma-megarhyncha-279410.wav",2,3.701883349,4.355134822,1.39754912638404
"248",248,"Syma-megarhyncha-279410.wav",3,4.503760158,5.142574098,2.44516230825094
"249",249,"Syma-megarhyncha-279410.wav",4,5.3354287,6.141784685,2.15148112639596
"250",250,"Syma-megarhyncha-279410.wav",5,6.349222653,8.032143115,1.30842780436762
"251",251,"Syma-torotoro-104965.wav",1,0.034920878,3.22494305,6.25397639668938
"252",252,"Syma-torotoro-104967.wav",1,0.030363047,2.872902107,10.0817699469247
"253",253,"Syma-torotoro-118803.wav",1,0.031496655,5.581506611,1.63320245430312
"254",254,"Syma-torotoro-118803.wav",2,6.389943436,12.11766346,1.47453298018093
"255",255,"Syma-torotoro-140359.wav",1,1.45052208,5.990775983,5.56498575672082
"256",256,"Syma-torotoro-140359.wav",2,17.95289043,22.77339457,4.94575716384615
"258",258,"Syma-torotoro-140360.wav",2,1.306793156,3.040857631,3.23370102161319
"259",259,"Syma-torotoro-140360.wav",3,3.146232751,3.877025251,1.58841280434905
"260",260,"Syma-torotoro-140360.wav",4,6.213902913,8.319446979,2.74934847134827
"261",261,"Syma-torotoro-140360.wav",5,10.18951161,11.09359597,1.57956663468473
"262",262,"Syma-torotoro-140360.wav",6,11.82874264,16.57976889,4.72468637794203
"288",288,"Syma-torotoro-140696.wav",26,132.876786,134.4699737,3.46676044649866
"289",289,"Syma-torotoro-140696.wav",27,139.2499742,140.9629119,3.77967156122489
"291",291,"Syma-torotoro-140696.wav",29,148.9075379,150.502538,4.06179063692723
"292",292,"Syma-torotoro-140696.wav",30,154.679851,156.272997,3.93537003783768
"294",294,"Syma-torotoro-140696.wav",32,177.3078328,182.1698542,3.67953815016145
"295",295,"Syma-torotoro-141085.wav",1,1.311709924,3.452920854,2.98429924815615
"296",296,"Syma-torotoro-141085.wav",2,8.791781494,15.15470588,2.4069260512699
"297",297,"Syma-torotoro-141086.wav",1,24.13022228,25.30551463,1.00178148002463
"298",298,"Syma-torotoro-141086.wav",2,25.3099938,25.99626503,1.0344212007752
"299",299,"Syma-torotoro-141086.wav",3,26.00080669,32.28374783,3.18805109757769
"300",300,"Syma-torotoro-141087.wav",1,1.311460209,13.36553995,5.9901846692163
"302",302,"Syma-torotoro-141088.wav",2,5.904418251,7.462272835,4.32067219472194
"303",303,"Syma-torotoro-141088.wav",3,10.65458619,12.1599616,4.18859102236419
"304",304,"Syma-torotoro-141088.wav",4,15.46279581,16.93287954,4.5787401793207
"305",305,"Syma-torotoro-141088.wav",5,20.04044288,21.51790161,4.12076362861328
"314",314,"Syma-torotoro-141088.wav",14,60.84462049,62.33193339,4.09808737555638
"319",319,"Syma-torotoro-156288.wav",1,0.673125592,2.178439416,5.79085648782999
"320",320,"Syma-torotoro-156288.wav",2,3.101752728,9.131820532,8.89653800528968
"321",321,"Syma-torotoro-156288.wav",3,10.03615466,11.4467809,6.57324308237249
"322",322,"Syma-torotoro-156288.wav",4,14.3966585,15.65438877,4.2434000500348
"324",324,"Syma-torotoro-156288.wav",6,21.64662321,23.17312455,6.24836439247225
"325",325,"Syma-torotoro-163435.wav",1,2.488918224,4.349461056,4.29972915306274
"326",326,"Syma-torotoro-163435.wav",2,5.728545252,6.798337588,1.291580295157
"327",327,"Syma-torotoro-163435.wav",3,11.43944466,13.34894586,4.30832842808941
"328",328,"Syma-torotoro-163435.wav",4,20.17207513,22.15676387,5.42206205708723
"329",329,"Syma-torotoro-163435.wav",5,26.20072473,32.16660347,4.82139755597023
"330",330,"Syma-torotoro-18704.wav",1,0.530658297,2.003109219,4.12241468757931
"331",331,"Syma-torotoro-18704.wav",2,4.025130028,13.34040309,1.80604200173553
"332",332,"Syma-torotoro-18704.wav",3,13.72972333,17.16868478,2.91635408054373
"335",335,"Syma-torotoro-23196.wav",3,12.15515077,13.97603563,2.87967381437111
"340",340,"Syma-torotoro-23196.wav",8,49.68078477,51.33073987,2.88913671850005
"342",342,"Syma-torotoro-23196.wav",10,64.13389536,65.84666227,3.12408191955383
"343",343,"Syma-torotoro-23196.wav",11,70.90305823,72.55659611,3.73134220841348
"344",344,"Syma-torotoro-23196.wav",12,78.26491969,79.96292469,3.41328547119358
"345",345,"Syma-torotoro-23210.wav",1,1.479728435,3.272654264,7.00286362770954
"346",346,"Syma-torotoro-23210.wav",2,8.262066529,10.08054792,8.25291968651204
"349",349,"Syma-torotoro-23210.wav",5,33.87280156,35.64414008,7.89300716178211
"350",350,"Syma-torotoro-23210.wav",6,40.67872243,42.43523102,7.70220160251631
"351",351,"Syma-torotoro-23210.wav",7,47.99430335,49.8456419,7.09269038842591
"353",353,"Syma-torotoro-24795.wav",1,0.876939384,2.180840514,2.43829898334815
"357",357,"Syma-torotoro-24795.wav",5,8.390413981,10.40016594,2.0349556347399
"358",358,"Syma-torotoro-24795.wav",6,10.79322744,11.87483817,1.80404809476487
"359",359,"Syma-torotoro-24795.wav",7,13.07082539,19.83051262,1.79939010603082
"360",360,"Syma-torotoro-24795.wav",8,22.06040078,30.3366877,1.33832307964147
"361",361,"Syma-torotoro-24796.wav",1,6.264133345,6.822886747,2.81036333936262
"362",362,"Syma-torotoro-24796.wav",2,13.31164617,14.14098942,1.99919146512483
"363",363,"Syma-torotoro-24796.wav",3,14.2314657,15.28448264,1.46036560954961
"364",364,"Syma-torotoro-24796.wav",4,16.60693296,17.31462076,2.5893598149821
"365",365,"Syma-torotoro-24796.wav",5,17.60772763,18.57389641,1.06909107722553
"366",367,"Syma-torotoro-301448.wav",1,1.364830499,2.91276765,3.91050688017143
"367",368,"Syma-torotoro-301448.wav",2,8.009073621,9.635446179,5.68671105482453
"369",370,"Syma-torotoro-301448.wav",4,18.96932761,24.03361542,5.75848394305902
"370",371,"Syma-torotoro-301448.wav",5,32.49756452,36.81042345,4.24854294827519
"371",372,"Syma-torotoro-301448.wav",6,49.59831992,54.02775487,4.35145685713072
"372",373,"Syma-torotoro-38640.wav",1,0.036303921,6.930851618,5.64322274416923
"373",374,"Syma-torotoro-38640.wav",2,8.118450152,10.80312624,1.44756019690541
"374",375,"Syma-torotoro-41017.wav",1,1.587098618,2.381316861,1.4130248154192
"375",376,"Syma-torotoro-41017.wav",2,5.364788339,7.065424452,14.0451927260738
"376",377,"Syma-torotoro-41017.wav",3,14.39951122,15.1706909,1.30677474179295
"377",378,"Syma-torotoro-41017.wav",4,16.89048803,18.57611279,11.3593323019895
"379",380,"Syma-torotoro-41017.wav",6,24.58813514,30.51949984,6.25368882101424
"380",381,"Syma-torotoro-70362.wav",1,1.159184813,2.577462852,7.66869512930434
"381",382,"Syma-torotoro-70362.wav",2,9.135451159,10.35855894,2.11853514436707
"382",383,"Syma-torotoro-70362.wav",3,14.75010521,16.23169396,9.05380400955299
"383",384,"Syma-torotoro-70362.wav",4,20.80242408,22.30482919,7.48147402880738
